"","TYPE","NAME","YLD","DIM1","DIM2","DIM3"
"1","GEN","10",4.2025,0.451387259886793,0.0635242689278805,0.293513650852015
"2","GEN","11",4.255,-0.301674265741665,-0.139229417779723,-0.500564424766886
"3","GEN","12",3.781875,-0.0442899196365773,-0.123216161070532,-0.0250236235212494
"4","GEN","13",3.49125,-1,-0.0437010286731273,-0.0449544592708647
"5","GEN","14",3.8975,-0.392814034399456,0.110254749081818,-0.203209489276723
"6","GEN","15",3.98,-0.274532389354149,0.444736933719969,0.235224876627638
"7","GEN","16",4.32625,-0.104717427722491,0.248636657336527,0.0198838276412724
"8","GEN","17",3.4975,0.0539286092628621,-0.569649683625699,0.392903061688902
"9","GEN","18",4.3125,0.350234560258748,-0.065561817071846,-0.305400892490021
"10","GEN","19",4.319375,0.14879487976605,-0.243184608935606,-0.116317569332881
"11","GEN","2",3.496875,-0.353537796061188,-0.0388013707086664,0.321679137337981
"12","GEN","20",4.1025,-0.0274229222223916,0.185548413193517,-0.0508333838519216
"13","GEN","21",4.145625,0.155331251066357,0.0228798826933462,-0.0603195594630998
"14","GEN","22",4.261875,-0.0237848641022677,0.361649380281203,-0.513963809347263
"15","GEN","23",4.4375,0.129724279337671,0.257601678743538,0.0338289722711846
"16","GEN","24",4.144375,-0.110159518031245,0.445699594188025,0.198911066153939
"17","GEN","25",3.588125,0.110342435779034,0.0912417221680247,-0.0611984112342928
"18","GEN","26",4.08875,-0.0320404210595186,0.0868344152666085,-0.178659705524373
"19","GEN","27",4.05125,0.34238414813771,-0.0370271818365472,0.0597720274117143
"20","GEN","28",4.04875,0.0731009587758651,0.44696011293262,0.520373692181268
"21","GEN","29",4.20875,0.284664669449069,-0.488763952422759,0.132116227914014
"22","GEN","3",4.02125,0.222563372490275,-0.720975642455559,-0.171789981013565
"23","GEN","30",4.2075,0.40635650782357,0.0846333198529401,-0.0278636241717589
"24","GEN","4",3.685625,0.0988469567097394,-0.302294640796114,-0.101106313217779
"25","GEN","5",4.130625,0.242470952406489,-0.0267953552146111,-0.00356027968725374
"26","GEN","6",4.05625,0.358951342388627,0.281099324100573,-0.234915020321455
"27","GEN","7",3.75875,-0.551599831359283,-0.0688985297900152,-0.106983037981749
"28","GEN","8",3.33,-0.490116678031598,-0.497621433496965,0.339154993908961
"29","GEN","9",4.003125,0.277607884182971,0.234420371391181,0.159302050484247
"30","ENV","AguaFria",8.48310344827586,-0.147291559984351,0.814839500756402,-0.077477762549368
"31","ENV","Ameca",1.21086206896552,-0.159332339439222,-0.179412065024613,0.282301945880076
"32","ENV","Batan",6.40827586206897,1,-0.0295177942349762,0.0636548747683976
"33","ENV","Celaya",3.07913793103448,-0.18015352577102,-0.38941603061939,-0.631963397358531
"34","ENV","Obregon",3.42241379310345,0.0254095517152071,-0.128949147972363,0.135984703991996
"35","ENV","Tlatizapan",2.07172413793103,-0.388153039280096,-0.276896646096376,0.397600907784415
"36","ENV","Toluca",3.74051724137931,-0.168139633619753,0.305434917917693,-0.0535061682673137
"37","ENV","Tuxtla",3.53741379310345,0.0176603456762288,-0.116082610303149,-0.116595516507739
